ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755172464.732707,2.16.158.91,10.7.72.134,1,0.51,440.0,629803.0,5.6581103801727295,1431.3704545454545,298.45455195324394,56.0,1514.0,0.012888634123400295,0.03554661439170029,1.0,440.0,184.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.8076358,2.16.158.91,10.7.72.134,1,0.51,450.0,644943.0,5.7354326248168945,1433.2066666666667,295.3709975230774,56.0,1514.0,0.012773792037454108,0.03530783091040593,1.0,450.0,187.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172464.9008665,2.16.158.91,10.7.72.134,1,0.51,460.0,660083.0,5.825783967971802,1434.963043478261,292.3802927536965,56.0,1514.0,0.012692339799502836,0.0350620792897089,1.0,460.0,189.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.0582573,2.16.158.91,10.7.72.134,1,0.51,470.0,675223.0,5.9971442222595215,1436.6446808510639,289.4779147189031,56.0,1514.0,0.012787087893943543,0.03505681304812601,1.0,470.0,190.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.14366,2.16.158.91,10.7.72.134,1,0.51,480.0,690363.0,6.07433009147644,1438.25625,286.6596395017458,56.0,1514.0,0.012681273677403843,0.034839608296627564,1.0,480.0,192.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.21376,2.16.158.91,10.7.72.134,1,0.51,490.0,705503.0,6.145520925521851,1439.8020408163266,283.9215176049543,56.0,1514.0,0.012567527455054909,0.034609173099034864,1.0,490.0,194.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.3003125,2.16.158.91,10.7.72.134,1,0.51,500.0,720643.0,6.225785732269287,1441.286,281.25985174567666,56.0,1514.0,0.012476524513565705,0.03442204927747149,1.0,500.0,196.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.3887815,2.16.158.91,10.7.72.134,1,0.51,510.0,735783.0,6.320264577865601,1442.7117647058824,278.6711767721098,56.0,1514.0,0.01241702274629784,0.03428934152336418,1.0,510.0,197.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.4619906,2.16.158.91,10.7.72.134,1,0.51,520.0,750923.0,6.390448093414307,1444.0826923076922,276.152241471393,56.0,1514.0,0.012313002106771304,0.03407575204903347,1.0,520.0,199.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.6825824,2.16.158.91,10.7.72.134,1,0.51,530.0,764169.0,6.5580666065216064,1441.8283018867924,279.04243734692517,56.0,1514.0,0.012397101335579596,0.03409292568159052,1.0,530.0,201.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.8521426,2.16.158.91,10.7.72.134,1,0.51,540.0,776780.0,6.773090362548828,1438.4814814814815,286.0872983018594,56.0,1514.0,0.012566030357233447,0.034831589553653904,1.0,540.0,203.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172465.95085,2.16.158.91,10.7.72.134,1,0.51,550.0,791920.0,6.875105857849121,1439.8545454545454,283.65408627614903,56.0,1514.0,0.01252296148970696,0.03476063073396259,1.0,550.0,203.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.0278747,2.16.158.91,10.7.72.134,1,0.51,560.0,805953.0,6.953593015670776,1439.2017857142857,284.63268999026957,56.0,1514.0,0.012439343498516595,0.03459751413617509,1.0,560.0,204.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.1143768,2.16.158.91,10.7.72.134,1,0.51,570.0,821093.0,7.040662527084351,1440.5140350877193,282.2957152626442,56.0,1514.0,0.012373747850763358,0.03445287009224451,1.0,570.0,205.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.1999016,2.16.158.91,10.7.72.134,1,0.51,580.0,836233.0,7.1288228034973145,1441.7810344827585,280.0149847941618,56.0,1514.0,0.012312301905867556,0.0342796350113538,1.0,580.0,206.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.2892725,2.16.158.91,10.7.72.134,1,0.51,590.0,851373.0,7.203006744384766,1443.0050847457628,277.7882957618642,56.0,1514.0,0.012229213487919806,0.0341167334295764,1.0,590.0,206.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.3870294,2.16.158.91,10.7.72.134,1,0.51,600.0,866513.0,7.300167083740234,1444.1883333333333,275.61356315904015,56.0,1514.0,0.012187257234958655,0.034041260884267614,1.0,600.0,207.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172466.8688617,2.16.158.91,10.7.72.134,1,0.51,610.0,878219.0,7.783246278762817,1439.7032786885245,284.19156346265555,56.0,1514.0,0.01278037155790282,0.037392487197905305,1.0,610.0,211.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
1755172467.0482175,10.7.72.134,2.16.158.91,1,0.5,150.0,87763.0,7.963470458984375,585.0866666666667,647.1179793171841,54.0,1438.0,0.05344611046298238,0.0861248917593755,1.0,149.0,23.0,0.0,0.0,52037.0,443.0,1.0,0.0,0.0,1.0
1755172467.1841142,20.50.201.201,10.7.72.134,1,0.5,10.0,6963.0,6.241556406021118,696.3,678.8394581931725,56.0,1514.0,0.6935062673356798,1.0896355162182954,1.0,10.0,3.0,0.0,0.0,443.0,52039.0,1.0,0.0,0.0,0.0
1755172467.2780242,2.16.158.91,10.7.72.134,1,0.51,620.0,879826.0,8.197726726531982,1419.074193548387,325.67274933068586,56.0,1514.0,0.01324350036596443,0.03812170275428935,1.0,620.0,216.0,0.0,0.0,443.0,52037.0,1.0,0.0,0.0,0.0
